type,lat,lon
2,-34.73530,-58.39010
2,-34.63402,-58.40588
2,-34.72160,-58.41010
2,-34.60877,-58.42500
2,-34.88969,-57.94838
2,-34.53717,-58.51308
2,-34.50294,-58.66632
2,-34.45370,-58.79614
2,-34.60949,-58.39746
2,-34.59167,-58.44765
2,-34.60668,-58.38084
2,-34.57352,-58.61215
2,-34.72570,-58.39800
2,-34.54470,-58.54782
2,-34.67440,-58.54853
2,-34.74950,-58.62050
2,-34.73020,-58.38440
2,-34.93391,-57.95383
2,-34.48826,-58.49685
2,-34.76043,-58.39596
2,-34.87687,-57.87479
2,-34.74034,-58.35965
2,-34.93570,-58.03240
2,-34.59920,-59.17110
2,-34.57510,-59.09035
2,-34.68239,-58.63478
2,-34.92610,-57.99685
2,-34.59960,-58.95510
2,-34.90565,-57.95390
2,-34.91580,-57.96080
2,-34.92290,-57.92527
2,-34.70056,-58.65164
2,-34.80717,-58.26440
2,-34.29339,-59.09940
2,-34.65614,-58.47620
2,-34.60019,-58.39611
2,-34.62773,-58.38151
2,-34.77863,-58.31443
2,-34.45687,-58.91111
2,-34.49541,-58.52134
2,-34.74862,-58.44617
2,-34.45693,-58.61361
2,-34.70649,-58.77869
2,-34.62987,-58.68905
2,-34.59905,-58.38298
2,-34.28576,-59.10414
2,-34.71666,-58.41179
2,-34.90151,-58.00059
2,-34.47532,-58.66194
2,-34.75582,-58.80820
2,-34.83770,-58.28705
2,-34.69903,-58.72989
2,-34.63120,-58.45269
2,-34.94130,-57.89790
2,-34.73233,-58.47197
2,-34.79837,-58.42549
2,-34.95372,-57.96525
2,-34.47281,-58.51381
2,-34.55028,-58.59045
2,-34.65856,-58.47783
2,-34.60313,-58.42091
2,-34.58369,-58.46763
5,-34.60491,-58.37939
5,-34.59167,-58.40712
5,-34.58810,-58.41149
5,-34.56199,-58.45668
5,-34.57503,-58.43493
2,-34.62549,-58.41626
2,-34.80701,-58.27825
2,-34.62223,-58.42763
2,-34.70730,-58.77750
2,-34.61176,-58.95260
2,-34.53179,-58.52382
2,-34.50412,-58.61992
5,-34.61143,-58.42094
5,-34.60912,-58.39042
2,-34.69934,-58.74029
2,-34.64925,-58.37842
2,-34.46057,-58.55247
2,-34.95140,-57.99990
2,-34.46997,-58.54533
2,-34.45693,-58.86476
2,-34.68368,-58.41892
2,-34.95756,-57.94713
2,-34.93582,-57.95812
2,-34.46630,-58.57120
2,-34.53008,-58.49597
2,-34.89600,-57.94830
2,-34.75686,-58.48807
2,-34.92203,-57.94194
2,-34.45726,-58.62863
2,-34.61396,-58.49428
2,-34.46862,-58.52541
2,-34.68965,-58.77550
2,-34.65838,-58.60991
2,-34.53063,-58.72085
2,-34.54865,-58.55064
2,-34.52615,-58.56929
2,-34.71238,-58.32715
2,-34.72129,-58.78777
2,-34.60537,-58.56202
2,-34.39357,-58.73913
2,-34.61380,-58.71010
2,-34.50240,-58.52802
2,-34.97550,-57.99040
2,-34.80803,-58.18589
2,-34.42621,-58.57625
2,-34.92810,-57.94278
2,-34.48580,-58.62020
2,-34.84158,-58.27867
2,-34.54050,-58.48540
2,-34.56461,-58.62038
2,-34.73634,-58.43149
2,-34.63109,-58.44189
2,-34.94515,-57.94518
2,-34.63347,-58.47925
2,-34.74595,-58.57845
2,-34.75802,-58.38008
2,-34.97927,-58.37442
5,-34.60887,-58.37208
5,-34.61004,-58.40617
5,-34.60456,-58.40547
2,-34.58912,-58.37249
2,-34.57821,-58.42643
2,-34.63101,-58.44209
2,-34.61565,-58.40454
2,-34.70927,-58.35383
2,-34.69487,-58.74826
2,-34.74880,-58.34410
2,-34.93750,-57.88780
2,-34.92690,-57.97419
2,-34.43270,-58.58465
2,-34.91719,-57.95502
2,-34.69697,-58.40705
2,-34.85136,-58.09129
2,-34.94676,-57.96133
2,-34.66465,-58.72855
2,-34.69221,-58.38957
2,-34.79183,-58.14881
2,-34.59333,-58.44578
2,-34.62781,-58.38117
2,-34.50217,-58.51746
2,-34.60495,-58.56419
2,-34.79006,-58.33462
2,-34.64403,-58.46338
2,-34.62459,-58.40886
2,-34.60922,-58.38458
2,-34.62773,-58.37958
2,-34.52787,-58.57568
2,-34.56269,-58.54834
2,-34.54080,-58.55114
2,-34.50412,-58.52335
2,-34.88100,-57.86818
2,-34.44370,-58.80870
2,-34.97978,-58.05577
2,-34.45357,-58.79380
2,-34.42012,-58.68449
2,-34.86789,-57.88504
2,-34.85316,-58.08077
2,-34.41265,-58.69012
2,-34.93657,-57.97250
2,-34.78030,-58.31200
2,-34.73999,-58.49604
2,-34.62036,-58.42240
2,-34.60286,-58.38256
2,-34.91483,-57.93590
2,-34.61785,-58.52950
2,-34.93570,-58.03230
2,-34.56210,-58.59600
2,-34.52362,-58.54636
2,-34.50341,-58.68063
2,-34.48561,-58.72467
2,-34.62379,-58.44924
5,-34.60233,-58.43177
5,-34.60405,-58.41180
2,-34.96645,-57.97919
2,-34.71399,-58.61313
2,-34.79605,-58.27335
2,-34.54136,-58.57329
2,-34.58677,-58.41099
2,-34.35894,-58.68837
2,-34.51086,-58.49028
2,-34.60543,-58.37932
2,-34.64078,-58.78763
2,-34.75714,-58.33461
2,-34.58197,-58.68433
2,-34.65144,-58.55324
2,-34.93803,-57.92056
2,-34.44325,-59.44617
2,-34.45820,-58.68110
2,-34.90429,-57.96615
2,-34.82248,-58.23165
2,-34.72815,-58.35348
2,-34.58445,-58.58483
2,-34.43298,-58.56299
2,-34.69167,-58.37715
2,-34.42662,-58.57577
2,-34.54444,-58.71241
2,-34.60380,-58.41697
2,-34.51373,-58.49021
2,-34.52873,-58.53771
2,-34.50857,-58.56510
2,-34.49381,-58.70624
2,-34.47896,-58.73949
2,-34.47080,-58.75788
2,-34.46282,-58.77565
2,-34.91508,-57.93137
2,-34.56264,-58.62312
2,-34.92094,-57.98939
2,-34.97978,-58.05577
2,-34.81638,-58.42668
2,-34.70563,-58.43988
2,-34.74676,-58.43461
2,-34.59835,-58.49931
2,-34.77182,-58.22770
2,-34.87392,-58.08610
2,-34.56637,-59.12022
2,-34.47333,-58.51354
2,-34.60910,-58.37970
2,-34.77457,-58.21561
2,-34.72133,-58.36119
2,-34.46532,-58.50976
2,-34.58979,-58.37452
2,-34.90018,-57.98055
2,-34.79848,-58.38422
2,-34.60566,-58.56848
2,-34.46307,-58.57729
2,-34.66893,-58.61335
2,-34.42049,-58.59374
2,-34.55767,-58.44503
2,-34.61684,-58.54159
2,-34.90050,-57.93610
2,-34.28538,-59.10378
2,-34.35659,-58.69551
2,-34.75244,-58.48240
2,-34.73581,-58.43355
2,-34.47820,-58.61800
2,-34.67516,-58.56150
2,-34.85525,-58.07831
2,-34.69487,-58.37096
2,-34.62012,-58.44068
2,-34.60760,-58.39202
2,-34.61053,-58.42119
2,-34.59875,-58.37628
2,-34.59077,-58.63388
2,-34.59186,-58.52534
2,-34.47984,-58.50732
2,-34.59510,-58.40259
5,-34.61473,-58.42853
5,-34.60398,-58.38654
2,-34.62457,-58.38135
2,-34.61304,-58.38042
5,-34.59976,-58.37409
5,-34.63594,-58.39889
2,-34.59479,-58.39269
2,-34.95141,-58.04955
2,-34.54828,-58.43826
2,-34.53711,-58.47713
2,-34.41591,-58.87150
5,-34.61072,-58.41441
5,-34.60350,-58.37944
5,-34.57045,-58.44381
2,-34.66364,-58.48934
2,-34.59833,-58.44039
2,-34.60048,-58.37058
2,-34.63838,-58.87994
2,-34.54266,-58.47299
2,-34.56423,-58.46949
2,-34.63942,-58.37530
2,-34.59402,-58.50466
2,-34.47275,-58.51676
2,-34.58522,-58.57843
2,-34.60073,-58.44029
2,-34.69688,-58.67162
2,-34.66547,-58.72827
2,-34.58760,-58.52626
2,-34.43742,-58.56131
2,-34.62557,-58.83716
2,-34.45700,-58.91234
2,-34.85577,-58.19338
2,-35.03428,-58.41523
2,-34.60322,-58.37377
2,-34.58124,-58.47426
5,-34.59953,-58.39154
5,-34.55548,-58.46250
5,-34.58513,-58.41587
5,-34.61281,-58.37776
5,-34.60951,-58.40596
2,-34.55223,-58.59517
2,-34.46365,-58.54197
2,-34.61870,-58.53273
2,-34.52046,-58.76795
2,-34.85736,-57.91566
2,-34.85174,-58.08978
2,-34.67665,-58.47146
2,-34.59287,-58.41374
2,-34.67560,-58.36405
2,-34.42470,-58.68050
2,-34.62233,-58.38509
2,-34.48988,-58.50034
2,-34.55289,-58.55682
2,-34.63416,-58.40596
2,-34.56260,-58.68149
2,-34.68008,-58.50945
2,-34.66122,-58.36855
2,-34.68462,-58.38647
2,-34.51076,-58.49069
2,-34.61845,-58.42854
2,-34.62481,-58.69712
2,-34.91547,-57.96266
2,-34.53145,-58.56671
2,-34.54045,-58.57389
2,-34.48620,-58.55889
2,-34.63505,-58.48788
2,-34.70307,-58.58190
2,-34.47599,-58.70511
2,-34.65469,-58.35768
2,-34.77593,-58.25358
